"","x"
"192","1"
"193","3"
"194","3"
"195","3"
"196","2"
"197","2"
"198","1"
"199","1"
"200","1"
"201","2"
"202","3"
"203","3"
"204","1"
"205","2"
"206","1"
"207","3"
"208","1"
"209","2"
"210","1"
"211","1"
"212","1"
"213","3"
"214","1"
"215","1"
"216","3"
"217","3"
"218","1"
"219","1"
"220","2"
"221","3"
"222","3"
"223","1"
"224","2"
"225","1"
"226","2"
"227","3"
"228","2"
"229","1"
"230","3"
"231","2"
"232","0"
"233","3"
"234","2"
"235","2"
"236","0"
"237","1"
"238","3"
"239","1"
"240","3"
"241","2"
"242","3"
"243","1"
"244","1"
"245","1"
"246","0"
"247","2"
"248","3"
"249","1"
"250","2"
"251","3"
"252","1"
"253","1"
"254","1"
"255","1"
"256","1"
"257","1"
"258","1"
"259","3"
"260","3"
"261","1"
"262","0"
"263","1"
"264","3"
"265","2"
"266","3"
"267","2"
"268","1"
"269","3"
"270","2"
"271","0"
"272","2"
"273","1"
"274","3"
"275","3"
"276","3"
"277","3"
"278","3"
"279","3"
"280","2"
"281","1"
"282","3"
"283","3"
"284","1"
"285","2"
"286","1"
"287","2"
"288","3"
"289","1"
"290","1"
"291","3"
"292","2"
"293","1"
"294","2"
"295","1"
"296","1"
"297","2"
"298","1"
"299","2"
"300","1"
"301","1"
"302","2"
"303","1"
"304","0"
"305","3"
"306","3"
"307","2"
"308","2"
"309","3"
"310","1"
"311","1"
"312","1"
"313","3"
"314","3"
"315","3"
"316","1"
"317","2"
"318","2"
"319","1"
"320","0"
"321","1"
"322","3"
"323","3"
"324","1"
"325","3"
"326","0"
"327","2"
"328","2"
"329","2"
"330","1"
"331","2"
"332","2"
"333","3"
"334","1"
"335","1"
"336","3"
"337","1"
"338","3"
"339","3"
"340","1"
"341","2"
"342","2"
"343","1"
"344","2"
"345","1"
"346","3"
"347","2"
"348","2"
"349","3"
"350","3"
"351","2"
"352","1"
"353","1"
"354","1"
"355","2"
"356","1"
"357","1"
"358","1"
"359","1"
"360","2"
"361","1"
"362","3"
"363","1"
"364","3"
"365","1"
"366","3"
"367","1"
"368","3"
"369","3"
"370","3"
"371","2"
"372","2"
"373","3"
"374","1"
"375","2"
"376","3"
"377","1"
"378","2"
"379","3"
"380","2"
"381","3"
"382","3"
"383","2"
"384","1"
"385","3"
"386","2"
"387","2"
"388","2"
"389","2"
"390","1"
"391","3"
"392","3"
"393","2"
"394","2"
"395","3"
"396","1"
"397","2"
"398","1"
"399","2"
"400","1"
"401","3"
"402","3"
"403","1"
"404","2"
"405","3"
"406","1"
"407","3"
"408","3"
"409","1"
"410","2"
"411","2"
"412","1"
"413","3"
"414","1"
"415","2"
"416","1"
"417","0"
"418","1"
"419","2"
"420","3"
"421","2"
"422","2"
"423","2"
"424","1"
"425","3"
"426","2"
"427","0"
"428","2"
"429","1"
"430","3"
"431","1"
"432","2"
"433","3"
"434","2"
"435","1"
"436","3"
"437","3"
"438","2"
"439","2"
"440","2"
"441","1"
"442","1"
"443","1"
"444","1"
"445","1"
"446","3"
"447","2"
"448","1"
"449","3"
"450","1"
"451","1"
"452","2"
"453","2"
"454","1"
"455","1"
"456","3"
"457","3"
"458","1"
"459","2"
"460","3"
"461","1"
"462","1"
"463","2"
"464","3"
"465","1"
"466","3"
"467","0"
"468","3"
"469","1"
"470","3"
"471","2"
"472","2"
"473","3"
"474","2"
"475","2"
"476","1"
"477","3"
"478","3"
"479","0"
"480","1"
"481","3"
"482","3"
"483","3"
"484","2"
"485","3"
"486","1"
"487","2"
"488","2"
"489","2"
"490","3"
"491","3"
"492","1"
"493","3"
"494","1"
"495","1"
"496","2"
"497","0"
"498","2"
"499","2"
"500","1"
"501","1"
"502","2"
"503","2"
"504","3"
"505","1"
"506","1"
"507","1"
"508","3"
"509","1"
"510","3"
"511","3"
"512","3"
"513","1"
"514","3"
"515","3"
"516","1"
"517","3"
"518","1"
"519","3"
"520","1"
"521","3"
"522","1"
"523","2"
"524","0"
"525","3"
"526","3"
"527","3"
"528","1"
"529","3"
"530","2"
"531","3"
"532","0"
"533","1"
"534","3"
"535","1"
"536","1"
"537","2"
"538","2"
"539","3"
"540","3"
"541","1"
"542","2"
"543","1"
"544","2"
"545","1"
"546","3"
"547","2"
"548","2"
"549","1"
"550","3"
"551","1"
"552","3"
"553","3"
"554","1"
"555","1"
"556","3"
"557","1"
"558","1"
"559","1"
"560","3"
"561","2"
"562","2"
"563","2"
"564","0"
"565","1"
"566","1"
"567","1"
"568","2"
"569","2"
"570","2"
"571","3"
"572","1"
"573","2"
"574","1"
"575","2"
"576","1"
"577","2"
"578","2"
"579","1"
"580","1"
"581","2"
"582","1"
"583","3"
"584","2"
"585","1"
"586","1"
"587","1"
"588","1"
"589","1"
"590","0"
"591","1"
"592","3"
"593","3"
"594","3"
"595","1"
"596","3"
"597","2"
"598","2"
"599","1"
"600","3"
"601","2"
"602","2"
"603","3"
"604","3"
"605","2"
"606","1"
"607","2"
"608","2"
"609","2"
"610","3"
"611","1"
"612","2"
"613","3"
"614","3"
"615","3"
"616","2"
"617","2"
"618","2"
"619","1"
"620","0"
"621","2"
"622","2"
"623","2"
"624","2"
"625","2"
"626","3"
"627","3"
"628","3"
"629","1"
"630","1"
"631","3"
"632","1"
"633","3"
"634","1"
"635","1"
"636","3"
"637","1"
"638","1"
"639","1"
"640","2"
"641","2"
"642","2"
"643","2"
"644","3"
"645","1"
"646","2"
"647","2"
"648","1"
"649","2"
"650","1"
"651","3"
"652","2"
"653","2"
"654","1"
"655","2"
"656","2"
"657","1"
"658","1"
"659","3"
"660","1"
"661","1"
"662","3"
"663","3"
"664","2"
"665","1"
"666","1"
"667","3"
"668","1"
"669","3"
"670","3"
"671","2"
"672","0"
"673","2"
"674","3"
"675","1"
"676","3"
"677","1"
"678","3"
"679","3"
"680","2"
"681","2"
"682","3"
"683","2"
