Long,Lat,Noise
0.271050374084635,0.701270833358669,56.2
0.271493315126886,0.744877435804561,59.2
0.275052585770775,0.788335873702494,67
0.277314949195493,0.831349088082563,55.9
0.198317902279543,0,64.9
0.199537823153968,0.0450904375476148,69.6
0.200208272862031,0.0882807681686929,61.6
0.202827318119219,0.132651792632934,57.8
0.204270219050951,0.175759160838783,54.6
0.423494334710752,0.740909350788722,52
0.205031672225362,0.220776367633052,66.1
0.208009987091317,0.263413696583815,66.2
0.207101030668184,0.306675068334545,72.2
0.209364256684994,0.351129298505402,56.4
0.21130250112893,0.396565939914246,65
0.213473861087319,0.438999147263256,65.9
0.207449302227693,0.483865756594139,56.2
0.211588666057386,0.527657747193389,59.1
0.223807067475834,0.746753213577169,68.3
0.225281668667161,0.790856130764382,66.9
0.425205501784922,0.783996282505257,68.8
0.224149516538698,0.833646490093786,65
0.148175639277789,0.00220300489371017,62.7
0.150007353597633,0.0454558614405304,62.2
0.151132389341293,0.0904302489236907,66.4
0.153427315617719,0.13338726295806,59.7
0.154797543165186,0.178071646925518,57.6
0.157036832251292,0.221029877417515,68.5
0.157404943429066,0.263894440666678,60.9
0.370076593865328,0.609374509615582,72.3
0.379140495981846,0.915780254215472,70.8
0.426209990282908,0.827549117520876,54.2
0.317213284090838,0.568077960340998,56.4
0.328858708708265,0.874778330995712,56.6
0.329728417190953,0.918667394919463,73.6
0.255250058979732,0.129465403334824,66.6
0.255953071539503,0.258948080368854,68.5
0.258552061530422,0.305773429887574,58.8
0.27000361857386,0.613661793131733,62.2
0.279207044962186,0.87628600866859,59.5
0.28024193983161,0.918988783043643,72.9
0.228898517333579,0.877521929691212,65.2
0.428952170562067,0.870451147667173,53.9
0.228186447556778,0.920045398201389,62.6
0.159549994328457,0.308477858645194,71.2
0.16169245745157,0.351806378860961,64.2
0.100422325091132,0.00324307622692976,61.1
0.101151431061858,0.0473622939472822,58.9
0.102384506465773,0.0915141127339129,68.2
0.103379290802659,0.133636880077908,70
0.105925447027579,0.179789771780364,70.3
0.108174224626761,0.266706647576402,51.4
0.109934128154452,0.309274881729994,71.2
